"arc_length","alpha1M","p"
0,2.9094152987e+00,3.0013997500e+06
5e-06,2.9094171224e+00,3.0014002500e+06
1e-05,2.9094189461e+00,3.0014005000e+06
1.5e-05,2.9094207699e+00,3.0014010000e+06
2e-05,2.9094225936e+00,3.0014015000e+06
2.5e-05,2.9094244173e+00,3.0014017500e+06
3e-05,2.9094262411e+00,3.0014022500e+06
3.5e-05,2.9094280648e+00,3.0014027500e+06
4e-05,2.9094298885e+00,3.0014030000e+06
4.5e-05,2.9094317123e+00,3.0014035000e+06
5e-05,2.9094335360e+00,3.0014040000e+06
5.5e-05,2.9094353597e+00,3.0014042500e+06
6e-05,2.9094371834e+00,3.0014047500e+06
6.5e-05,2.9094390072e+00,3.0014052500e+06
7e-05,2.9094408309e+00,3.0014057500e+06
7.5e-05,2.9094426546e+00,3.0014060000e+06
8e-05,2.9094444784e+00,3.0014065000e+06
8.5e-05,2.9094463021e+00,3.0014070000e+06
9e-05,2.9094481258e+00,3.0014072500e+06
9.5e-05,2.9094499496e+00,3.0014077500e+06
0.0001,2.9094517733e+00,3.0014082500e+06
0.000105,2.9094535970e+00,3.0014085000e+06
0.00011,2.9094554207e+00,3.0014090000e+06
0.000115,2.9094572445e+00,3.0014095000e+06
0.00012,2.9094590682e+00,3.0014097500e+06
0.000125,2.9094608919e+00,3.0014102500e+06
0.00013,2.9094663705e+00,3.0014115000e+06
0.000135,2.9094718491e+00,3.0014127500e+06
0.00014,2.9094773277e+00,3.0014140000e+06
0.000145,2.9094828062e+00,3.0014152500e+06
0.00015,2.9094882848e+00,3.0014165000e+06
0.000155,2.9094937634e+00,3.0014177500e+06
0.00016,2.9094992419e+00,3.0014190000e+06
0.000165,2.9095047205e+00,3.0014202500e+06
0.00017,2.9095101991e+00,3.0014215000e+06
0.000175,2.9095156777e+00,3.0014227500e+06
0.00018,2.9095211562e+00,3.0014240000e+06
0.000185,2.9095266348e+00,3.0014252500e+06
0.00019,2.9095321134e+00,3.0014265000e+06
0.000195,2.9095375920e+00,3.0014277500e+06
0.0002,2.9095430705e+00,3.0014290000e+06
0.000205,2.9095485491e+00,3.0014302500e+06
0.00021,2.9095540277e+00,3.0014315000e+06
0.000215,2.9095595063e+00,3.0014327500e+06
0.00022,2.9095649848e+00,3.0014340000e+06
0.000225,2.9095704634e+00,3.0014352500e+06
0.00023,2.9095759420e+00,3.0014365000e+06
0.000235,2.9095814206e+00,3.0014377500e+06
0.00024,2.9095868991e+00,3.0014390000e+06
0.000245,2.9095923777e+00,3.0014402500e+06
0.00025,2.9095978563e+00,3.0014415000e+06
0.000255,2.9096070266e+00,3.0014435000e+06
0.00026,2.9096161969e+00,3.0014457500e+06
0.000265,2.9096253673e+00,3.0014477500e+06
0.00027,2.9096345376e+00,3.0014500000e+06
0.000275,2.9096437079e+00,3.0014520000e+06
0.00028,2.9096528783e+00,3.0014542500e+06
0.000285,2.9096620486e+00,3.0014562500e+06
0.00029,2.9096712190e+00,3.0014585000e+06
0.000295,2.9096803893e+00,3.0014605000e+06
0.0003,2.9096895597e+00,3.0014625000e+06
0.000305,2.9096987300e+00,3.0014647500e+06
0.00031,2.9097079003e+00,3.0014667500e+06
0.000315,2.9097170707e+00,3.0014690000e+06
0.00032,2.9097262410e+00,3.0014710000e+06
0.000325,2.9097354113e+00,3.0014732500e+06
0.00033,2.9097445817e+00,3.0014752500e+06
0.000335,2.9097537520e+00,3.0014772500e+06
0.00034,2.9097629223e+00,3.0014795000e+06
0.000345,2.9097720927e+00,3.0014815000e+06
0.00035,2.9097812630e+00,3.0014837500e+06
0.000355,2.9097904333e+00,3.0014857500e+06
0.00036,2.9097996037e+00,3.0014880000e+06
0.000365,2.9098087740e+00,3.0014900000e+06
0.00037,2.9098179443e+00,3.0014922500e+06
0.000375,2.9098271147e+00,3.0014942500e+06
0.00038,2.9098400433e+00,3.0014972500e+06
0.000385,2.9098529718e+00,3.0015002500e+06
0.00039,2.9098659003e+00,3.0015032500e+06
0.000395,2.9098788289e+00,3.0015062500e+06
0.0004,2.9098917574e+00,3.0015090000e+06
