,X_cells,P_array,S0_array
0,0.0,1075.5203632684613,4.1453816031942386e-41
1,2.5125628140703518e-05,1074.0203632684613,1.24361448095824e-40
2,5.0251256281407036e-05,1072.5203632684616,3.730843442873388e-40
3,7.537688442211056e-05,1071.0203632684616,1.1192530328615805e-39
4,0.00010050251256281407,1069.5203632684613,3.35775909858366e-39
5,0.0001256281407035176,1068.0203632684613,1.0073277295746575e-38
6,0.00015075376884422112,1066.520363268461,3.021983188723182e-38
7,0.00017587939698492463,1065.0203632684609,9.065949566184565e-38
8,0.00020100502512562814,1063.5203632684606,2.719784869885012e-37
9,0.00022613065326633166,1062.0203632684602,8.15935461006133e-37
10,0.0002512562814070352,1060.5203632684597,2.4478063834970664e-36
11,0.0002763819095477387,1059.0203632684593,7.343419155414733e-36
12,0.00030150753768844223,1057.5203632684588,2.2030257510979396e-35
13,0.0003266331658291457,1056.0203632684584,6.609077289076023e-35
14,0.00035175879396984926,1054.520363268458,1.982723211463487e-34
15,0.00037688442211055275,1053.0203632684575,5.948169774743875e-34
16,0.0004020100502512563,1051.5203632684572,1.784450986369838e-33
17,0.00042713567839195983,1050.020363268457,5.353352915547611e-33
18,0.0004522613065326633,1048.5203632684568,1.6060055175420208e-32
19,0.00047738693467336686,1047.0203632684568,4.818011911357484e-32
20,0.0005025125628140704,1045.5203632684568,1.445399148934261e-31
21,0.0005276381909547739,1044.0203632684565,4.336161470061021e-31
22,0.0005527638190954774,1042.5203632684563,1.3008221765745404e-30
23,0.0005778894472361809,1041.020363268456,3.902290119217624e-30
24,0.0006030150753768845,1039.5203632684559,1.1705764756786207e-29
25,0.000628140703517588,1038.0203632684554,3.511076973150484e-29
26,0.0006532663316582914,1036.5203632684547,1.0529581937675673e-28
27,0.000678391959798995,1035.0203632684543,3.156931194497014e-28
28,0.0007035175879396985,1033.5203632684538,9.460899873157327e-28
29,0.000728643216080402,1032.0203632684534,2.8334403442010793e-27
30,0.0007537688442211055,1030.5203632684527,8.47765668156532e-27
31,0.0007788944723618091,1029.020363268452,2.5330496296514404e-26
32,0.0008040201005025126,1027.5203632684513,7.554422991709525e-26
33,0.0008291457286432161,1026.0203632684506,2.247450293663166e-25
34,0.0008542713567839197,1024.5203632684502,6.665194772568627e-25
35,0.0008793969849246232,1023.0203632684497,1.9689741776040606e-24
36,0.0009045226130653266,1021.5203632684492,5.789201791305005e-24
37,0.0009296482412060301,1020.0203632684486,1.6927114179149996e-23
38,0.0009547738693467337,1018.520363268448,4.9177306635547846e-23
39,0.000979899497487437,1017.0203632684472,1.4184189530825204e-22
40,0.0010050251256281408,1015.5203632684467,4.0584503428896187e-22
41,0.0010301507537688443,1014.0203632684461,1.151104651067344e-21
42,0.0010552763819095478,1012.5203632684456,3.2343096926821335e-21
43,0.0010804020100502513,1011.0203632684452,8.997210680549374e-21
44,0.0011055276381909548,1009.5203632684448,2.47671822148197e-20
45,0.0011306532663316582,1008.0203632684443,6.743829859938838e-20
46,0.0011557788944723617,1006.5203632684436,1.8157326907574642e-19
47,0.0011809045226130654,1005.020363268443,4.832813714686918e-19
48,0.001206030150753769,1003.5203632684426,1.271364225198571e-18
49,0.0012311557788944724,1002.0203632684421,3.3052910874673844e-18
50,0.001256281407035176,1000.5203632684415,8.491684118936635e-18
51,0.0012814070351758794,999.0203632684409,2.1558627831749405e-17
52,0.0013065326633165829,997.5203632684404,5.4089408665491275e-17
53,0.0013316582914572864,996.0203632684398,1.3412435357903555e-16
54,0.00135678391959799,994.5203632684392,3.2874995063376856e-16
55,0.0013819095477386936,993.0203632684385,7.966379283625816e-16
56,0.001407035175879397,991.5203632684376,1.9088985222082076e-15
57,0.0014321608040201005,990.020363268436,4.5241202286310966e-15
58,0.001457286432160804,988.5203632684329,1.060791767487705e-14
59,0.0014824120603015075,987.0203632684262,2.4614873215607867e-14
60,0.001507537688442211,985.5203632684116,5.654236115945674e-14
61,0.0015326633165829147,984.0203632683787,1.2861940593884597e-13
62,0.0015577889447236182,982.5203632683043,2.8983570634120636e-13
63,0.0015829145728643217,981.0203632681373,6.472548621339213e-13
64,0.0016080402010050252,979.5203632677654,1.433012470905041e-12
65,0.0016331658291457286,978.0203632669431,3.146706599071363e-12
66,0.0016582914572864321,976.5203632651379,6.856161827894287e-12
67,0.0016834170854271356,975.0203632612014,1.482917176150342e-11
68,0.0017085427135678393,973.520363252675,3.1853771780053345e-11
69,0.0017336683417085428,972.0203632343195,6.798506910627626e-11
70,0.0017587939698492463,970.5203631950266,1.4423733773522082e-10
71,0.0017839195979899498,969.0203631113475,3.0433846777162115e-10
72,0.0018090452261306533,967.5203629339765,6.389306428852031e-10
73,0.0018341708542713568,966.020362559589,1.3352683249837322e-09
74,0.0018592964824120603,964.5203617723048,2.779056535675436e-09
75,0.001884422110552764,963.0203601222252,5.762757123898586e-09
76,0.0019095477386934674,961.5203566737852,1.1911043067267294e-08
77,0.001934673366834171,960.0203494850143,2.4548729882395603e-08
78,0.001959798994974874,958.5203345310092,5.0469683104281584e-08
79,0.001984924623115578,957.0203034801028,1.0353929323579273e-07
80,0.0020100502512562816,955.5202391027025,2.1202688483914826e-07
81,0.002035175879396985,954.0201057969274,4.3352343037143044e-07
82,0.0020603015075376886,952.5198300437767,8.852815496776773e-07
83,0.002085427135678392,951.0192600977209,1.805906795266233e-06
84,0.0021105527638190956,949.5180828674257,3.680774249945421e-06
85,0.002135678391959799,948.0156525445807,7.496963174197058e-06
86,0.0021608040201005025,946.5106373184558,1.526140874301084e-05
